season,weapon,gender,category,rho,pvalue,rho_ts,pvalue_ts,rho2,pvalue2,n_fencers
2025/2026,Epee,Womens,Cadet,0.8384,1.1416219068821143e-37,0.8844,7.749568024777637e-47,0.8851,5.134496861130857e-47,138
2014/2015,Epee,Womens,Junior,0.7033,1.0637535147982797e-20,0.6863,2.0162416216079701e-19,0.9338,5.370554769749138e-59,130
2015/2016,Epee,Womens,Junior,0.773,7.424192899501295e-30,0.7144,8.972521763795906e-24,0.9447,1.2608482322061843e-70,144
2016/2017,Epee,Womens,Junior,0.7745,7.744403944445118e-31,0.6877,4.762868772341153e-22,0.9311,8.143732557198828e-66,148
2017/2018,Epee,Womens,Junior,0.6408,2.0587884917646598e-19,0.6254,2.5946573913083684e-18,0.926,4.9066166848529164e-67,156
2018/2019,Epee,Womens,Junior,0.7632,5.336650564889779e-27,0.7801,7.288973180855238e-29,0.9378,5.686294520102945e-63,135
2019/2020,Epee,Womens,Junior,0.7403,1.3460224238547208e-18,0.7267,1.1420025736245768e-17,0.9211,6.342073024330409e-42,100
2020/2021,Epee,Womens,Junior,0.7865,3.919021539120576e-05,0.8271,6.884217225021655e-06,0.9218,7.796274241778167e-09,20
2021/2022,Epee,Womens,Junior,0.6944,3.428442353208711e-23,0.6624,1.4798438652644362e-20,0.9071,2.9688953238507806e-58,152
2022/2023,Epee,Womens,Junior,0.7986,6.930134714685887e-43,0.8007,2.9595141715997873e-43,0.95,6.263777765023205e-96,188
2023/2024,Epee,Womens,Junior,0.6947,7.769118893283045e-27,0.7061,5.02933422634744e-28,0.9262,4.8453641892371514e-76,177
2024/2025,Epee,Womens,Junior,0.7517,1.8135157467426846e-43,0.7483,6.97949621373635e-43,0.94,2.0876569962164877e-109,232
2025/2026,Epee,Womens,Junior,0.7269,6.716510096778721e-50,0.7227,4.429643454395102e-49,0.9385,8.152990193271409e-138,296
2014/2015,Epee,Womens,Senior,0.7726,1.3962092679892784e-130,0.724,4.225094596253759e-107,0.9676,0.0,653
2015/2016,Epee,Womens,Senior,0.8211,5.367125938630746e-157,0.761,1.2948834979926586e-121,0.9579,0.0,638
2016/2017,Epee,Womens,Senior,0.8144,7.245552588127092e-172,0.7946,9.964141982781871e-158,0.9565,0.0,720
2017/2018,Epee,Womens,Senior,0.8085,1.0548577287958765e-173,0.7802,5.78158495526062e-154,0.9636,0.0,747
2018/2019,Epee,Womens,Senior,0.8548,1.969895736807938e-226,0.8259,4.4024026418045845e-198,0.9635,0.0,789
2019/2020,Epee,Womens,Senior,0.8131,2.0849638300924962e-154,0.8125,5.427406909748907e-154,0.9563,0.0,650
2020/2021,Epee,Womens,Senior,0.4434,2.9692336666000955e-12,0.4788,2.6909644676327613e-14,0.9043,2.1278906774817057e-84,225
2021/2022,Epee,Womens,Senior,0.877,3.5311710456738225e-178,0.8184,3.4512124629288624e-135,0.943,2.5976911896576156e-266,555
2022/2023,Epee,Womens,Senior,0.8641,2.369397556934279e-235,0.8581,1.2960323984558151e-228,0.9596,0.0,784
2023/2024,Epee,Womens,Senior,0.8651,5.870790094452866e-218,0.8331,2.212960703723329e-187,0.9677,0.0,722
2024/2025,Epee,Womens,Senior,0.8617,2.8556764573355163e-245,0.8451,1.3241428563276111e-226,0.9549,0.0,827
2025/2026,Epee,Womens,Senior,0.8293,3.483752332555409e-233,0.7974,1.171150993787868e-202,0.9526,0.0,916
2015/2016,Epee,Womens,Veterans,0.8374,4.2415849320561185e-21,0.872,1.1670027147606787e-24,0.9246,9.384808606949204e-33,76
2016/2017,Epee,Womens,Veterans,0.806,1.6160733071519914e-21,0.8029,2.9795668087760262e-21,0.8897,2.238558701231041e-31,89
2023/2024,Epee,Womens,Veterans,0.668,8.640225639098693e-16,0.7148,8.720618825959622e-19,0.9218,4.374740401182853e-47,112
2024/2025,Epee,Womens,Veterans,0.6553,5.2212707880546865e-20,0.7168,2.9389759849368636e-25,0.8917,1.7187490229876507e-53,152
2015/2016,Foil,Mens,Cadet,0.7552,0.004508435484294223,0.8252,0.0009513628555555001,0.958,9.543581826838402e-07,12
2016/2017,Foil,Mens,Cadet,0.9743,4.47346509421244e-15,0.9615,2.985870976337925e-13,0.9526,2.540168563888203e-12,23
2017/2018,Foil,Mens,Cadet,0.9228,1.8585775456654748e-08,0.9211,2.2361332893791867e-08,0.9614,5.862028167722591e-11,19
2018/2019,Foil,Mens,Cadet,0.8767,8.469517632871101e-07,0.9136,4.7092740379436045e-08,0.9614,5.862028167722591e-11,19
2020/2021,Foil,Mens,Cadet,-0.4424,0.20042268671194213,-0.2727,0.4458383415427516,0.8182,0.003814920082550713,10
2024/2025,Foil,Mens,Cadet,0.9516,8.478363859558956e-14,0.9714,1.6747151734504848e-16,0.9679,6.797349171098293e-16,26
2025/2026,Foil,Mens,Cadet,0.8268,1.4687374325573953e-38,0.8709,3.2913801774927815e-47,0.9354,3.0885780877199397e-68,149
2014/2015,Foil,Mens,Junior,0.5881,1.4187331972097278e-11,0.4988,2.931185177922932e-08,0.9081,1.2660720892593617e-42,110
2015/2016,Foil,Mens,Junior,0.757,3.448899919857147e-20,0.6775,5.323345116739165e-15,0.9268,2.595986114667363e-44,102
2016/2017,Foil,Mens,Junior,0.6909,1.803067105814366e-15,0.6357,1.1953288533814356e-12,0.8989,6.679104825771832e-37,100
2017/2018,Foil,Mens,Junior,0.6213,1.2819000056756312e-09,0.5733,4.105785111054023e-08,0.9347,7.032130826008775e-36,78
2018/2019,Foil,Mens,Junior,0.7401,2.825474440686558e-19,0.614,4.1863787191129086e-12,0.9251,1.082011138558376e-44,104
2019/2020,Foil,Mens,Junior,0.7369,1.3609810822328014e-20,0.7281,6.456586950901056e-20,0.9419,2.0922812676341682e-54,113
2020/2021,Foil,Mens,Junior,0.7585,0.00026364612959071287,0.7131,0.0008932304748108607,0.9071,2.0736991664353683e-07,18
2021/2022,Foil,Mens,Junior,0.7262,3.794338137286666e-16,0.7172,1.2801410448993545e-15,0.9533,4.8703805470742196e-48,91
2022/2023,Foil,Mens,Junior,0.7619,1.5971254533760537e-29,0.7174,7.64813234031308e-25,0.9417,2.060715838954518e-71,149
2023/2024,Foil,Mens,Junior,0.8184,1.3903092802216455e-32,0.7896,6.291432264865241e-29,0.9499,1.7289259883727855e-66,130
2024/2025,Foil,Mens,Junior,0.7651,3.220928472987934e-42,0.7588,3.6723013561927136e-41,0.9461,2.771307974264234e-105,213
2025/2026,Foil,Mens,Junior,0.8471,2.9080210583622346e-56,0.848,1.6727389964187996e-56,0.9549,2.5346418156656286e-106,200
2014/2015,Foil,Mens,Senior,0.7609,6.50636451307599e-129,0.7055,4.985113089023262e-103,0.965,0.0,677
2015/2016,Foil,Mens,Senior,0.7954,3.919188448523866e-144,0.7516,3.995539496846303e-120,0.9532,0.0,655
2016/2017,Foil,Mens,Senior,0.8233,1.3100813709870313e-188,0.7704,2.5492679105831185e-150,0.9545,0.0,760
2017/2018,Foil,Mens,Senior,0.7917,2.6677338146672655e-181,0.7554,7.541752170250321e-156,0.9619,0.0,839
2018/2019,Foil,Mens,Senior,0.8616,6.958959514787661e-225,0.8518,1.7805793681204527e-214,0.9513,0.0,758
2019/2020,Foil,Mens,Senior,0.8263,6.239270054587854e-166,0.845,9.619886117367418e-181,0.9535,0.0,659
2020/2021,Foil,Mens,Senior,0.4332,1.9096612865568044e-09,0.4635,9.298939908870704e-11,0.9125,1.8995609316987305e-69,176
2021/2022,Foil,Mens,Senior,0.8485,1.4267791467510992e-166,0.8284,6.856423511600559e-152,0.9561,0.0,597
2022/2023,Foil,Mens,Senior,0.8716,5.9054678413101514e-254,0.8728,1.6387402134068205e-255,0.9564,0.0,815
2023/2024,Foil,Mens,Senior,0.8692,6.470361812765015e-277,0.8464,5.3026572872312894e-248,0.9591,0.0,900
2024/2025,Foil,Mens,Senior,0.8796,1.4698458874924624e-292,0.861,1.624011861508213e-266,0.9606,0.0,902
2025/2026,Foil,Mens,Senior,0.8529,1.6476695139649632e-273,0.8198,6.037954009775726e-235,0.9615,0.0,963
2015/2016,Foil,Mens,Veterans,0.8747,3.6239564679592793e-34,0.9126,8.483462511497773e-42,0.8678,4.7481025858056846e-33,105
2016/2017,Foil,Mens,Veterans,0.9176,1.7208194172107844e-49,0.9078,9.803726172785072e-47,0.9064,2.3742023324032517e-46,121
2023/2024,Foil,Mens,Veterans,0.8,7.727300664339505e-29,0.8273,2.4506793921571126e-32,0.8834,5.5507580544683775e-42,124
2024/2025,Foil,Mens,Veterans,0.6313,1.726939224979946e-16,0.7905,2.5822549355478598e-30,0.8483,8.054411820402866e-39,136
2015/2016,Foil,Womens,Cadet,0.9091,0.00010559337630360879,0.9273,3.973774256558546e-05,0.9818,8.403066433955256e-08,11
2016/2017,Foil,Womens,Cadet,0.9051,1.4440832854860312e-06,0.9419,5.1537176572587274e-08,0.9118,8.818985741384046e-07,16
2017/2018,Foil,Womens,Cadet,0.8989,1.2358700865600784e-05,0.8989,1.2358700865600784e-05,0.9429,4.440992850960903e-07,14
2018/2019,Foil,Womens,Cadet,0.9636,7.3209748095299185e-06,0.9879,9.307459988955516e-08,0.9515,2.279854920641689e-05,10
2024/2025,Foil,Womens,Cadet,0.9263,1.9721227123762943e-06,0.9197,3.2515501766674544e-06,0.9077,7.301703996852342e-06,14
2025/2026,Foil,Womens,Cadet,0.8274,3.3147101522822217e-19,0.8694,4.03720748381607e-23,0.9524,7.619021996637646e-38,72
2014/2015,Foil,Womens,Junior,0.5782,1.6216179701295547e-11,0.5371,7.227764188998214e-10,0.9311,7.256812006787905e-51,114
2015/2016,Foil,Womens,Junior,0.7339,2.0378447103559052e-23,0.6561,1.793886345347257e-17,0.9269,9.221706813785147e-57,131
2016/2017,Foil,Womens,Junior,0.7707,6.837224918917939e-21,0.676,1.1900072171652928e-14,0.9015,1.993545692217915e-37,100
2017/2018,Foil,Womens,Junior,0.7127,8.432559450839927e-19,0.7178,3.680968956475836e-19,0.9389,3.084758509002382e-53,113
2018/2019,Foil,Womens,Junior,0.6873,4.075147086538722e-16,0.6766,1.7212414293692091e-15,0.9,2.6496215045181543e-39,106
2019/2020,Foil,Womens,Junior,0.8542,1.919593876196963e-26,0.8169,1.6739361846338297e-22,0.9393,3.3957852854090234e-42,89
2021/2022,Foil,Womens,Junior,0.833,6.257070983192076e-14,0.8244,1.871204937770471e-13,0.9172,8.126722419876794e-21,50
2022/2023,Foil,Womens,Junior,0.7716,1.4232045211304463e-19,0.7479,7.055483864637528e-18,0.9302,2.25907200449954e-41,93
2023/2024,Foil,Womens,Junior,0.6869,8.891039737672985e-18,0.6616,3.470060947143521e-16,0.937,8.093230808061882e-55,118
2024/2025,Foil,Womens,Junior,0.8006,2.0584216079317882e-35,0.7492,8.197707930214241e-29,0.9463,5.916655673353956e-76,153
2025/2026,Foil,Womens,Junior,0.7676,2.657053069570414e-40,0.726,3.4067052042450005e-34,0.944,8.662261225389208e-98,201
2014/2015,Foil,Womens,Senior,0.7836,1.5959703657299724e-90,0.7073,1.888143353661739e-66,0.9578,7.863702123357333e-234,430
2015/2016,Foil,Womens,Senior,0.863,2.8346290232479327e-129,0.8182,3.484122406917239e-105,0.9589,1.034982462708178e-236,431
2016/2017,Foil,Womens,Senior,0.8444,7.059722923531067e-125,0.8111,1.4058256570102564e-107,0.9592,9.138289057194617e-251,455
2017/2018,Foil,Womens,Senior,0.8585,2.817023300344093e-157,0.8115,6.0142661868358116e-127,0.9663,0.0,537
2018/2019,Foil,Womens,Senior,0.8694,5.440020943783316e-161,0.8488,9.534845596273327e-146,0.9566,4.2346866838295865e-280,521
2019/2020,Foil,Womens,Senior,0.7997,1.618066621052305e-101,0.818,6.646559090385612e-110,0.9635,4.97409215324398e-259,451
2020/2021,Foil,Womens,Senior,0.5101,5.557442384568869e-12,0.4697,3.720701655691228e-10,0.893,1.1462708561020575e-56,160
2021/2022,Foil,Womens,Senior,0.8684,1.21958717208272e-141,0.8361,1.5948514492478647e-121,0.9621,1.081204220486105e-260,460
2022/2023,Foil,Womens,Senior,0.8813,2.5087909683265357e-190,0.8533,1.421622792686397e-165,0.9665,0.0,580
2023/2024,Foil,Womens,Senior,0.8882,4.722998330502196e-218,0.8478,3.3251187516456386e-178,0.9601,0.0,641
2024/2025,Foil,Womens,Senior,0.8722,4.181790585747633e-226,0.8425,7.475504463901282e-196,0.9489,0.0,723
2025/2026,Foil,Womens,Senior,0.8242,3.1202688811445718e-177,0.7943,1.310967269868812e-155,0.9527,0.0,711
2015/2016,Foil,Womens,Veterans,0.9059,1.4107753861631687e-28,0.9113,1.8239767591738222e-29,0.9344,5.235815898020818e-34,74
2016/2017,Foil,Womens,Veterans,0.869,1.8254431367171172e-26,0.8851,1.2179181948098338e-28,0.8609,1.7500593629287892e-25,83
